m;ep;log_ep,log_C 
3;15.300;2.7278528284;0.0000000000
3;15.606;2.7476554557;0.0000000000
3;15.918;2.7674580830;0.0000000000
3;16.236;2.7872607103;0.0000000000
3;16.561;2.8070633376;0.0000000000
3;16.892;2.8268659649;0.0000000000
3;17.230;2.8466685922;0.0000000000
3;17.575;2.8664712195;0.0000000000
3;17.926;2.8862738468;0.0000000000
3;18.285;2.9060764741;0.0000000000
3;18.651;2.9258791014;0.0000000000
3;19.024;2.9456817287;0.0000000000
3;19.404;2.9654843560;0.0000000000
3;19.792;2.9852869832;0.0000000000
3;20.188;3.0050896105;0.0000000000
3;20.592;3.0248922378;0.0000000000
3;21.004;3.0446948651;0.0000000000
3;21.424;3.0644974924;0.0000000000
3;21.852;3.0843001197;0.0000000000
3;22.289;3.1041027470;0.0000000000
3;22.735;3.1239053743;0.0000000000
3;23.190;3.1437080016;0.0000000000
3;23.653;3.1635106289;0.0000000000
3;24.127;3.1833132562;0.0000000000
3;24.609;3.2031158835;0.0000000000
3;25.101;3.2229185108;0.0000000000
3;25.603;3.2427211381;0.0000000000
3;26.115;3.2625237654;0.0000000000
3;26.638;3.2823263927;0.0000000000
3;27.170;3.3021290200;0.0000000000
3;27.714;3.3219316473;0.0000000000
3;28.268;3.3417342746;0.0000000000
3;28.833;3.3615369019;0.0000000000
3;29.410;3.3813395292;0.0000000000
3;29.998;3.4011421565;0.0000000000
3;30.598;3.4209447838;0.0000000000
3;31.210;3.4407474111;0.0000000000
3;31.834;3.4605500384;0.0000000000
3;32.471;3.4803526657;0.0000000000
3;33.121;3.5001552929;0.0000000000
3;33.783;3.5199579202;0.0000000000
3;34.459;3.5397605475;0.0000000000
3;35.148;3.5595631748;0.0000000000
3;35.851;3.5793658021;0.0000000000
3;36.568;3.5991684294;0.0000000000
3;37.299;3.6189710567;0.0000000000
3;38.045;3.6387736840;0.0000000000
3;38.806;3.6585763113;0.0000000000
3;39.582;3.6783789386;0.0000000000
3;40.374;3.6981815659;0.0000000000
3;41.181;3.7179841932;0.0000000000
3;42.005;3.7377868205;0.0000000000
