m;ep;C 
3;15.300;1.0000000000
3;15.606;1.0000000000
3;15.918;1.0000000000
3;16.236;1.0000000000
3;16.561;1.0000000000
3;16.892;1.0000000000
3;17.230;1.0000000000
3;17.575;1.0000000000
3;17.926;1.0000000000
3;18.285;1.0000000000
3;18.651;1.0000000000
3;19.024;1.0000000000
3;19.404;1.0000000000
3;19.792;1.0000000000
3;20.188;1.0000000000
3;20.592;1.0000000000
3;21.004;1.0000000000
3;21.424;1.0000000000
3;21.852;1.0000000000
3;22.289;1.0000000000
3;22.735;1.0000000000
3;23.190;1.0000000000
3;23.653;1.0000000000
3;24.127;1.0000000000
3;24.609;1.0000000000
3;25.101;1.0000000000
3;25.603;1.0000000000
3;26.115;1.0000000000
3;26.638;1.0000000000
3;27.170;1.0000000000
3;27.714;1.0000000000
3;28.268;1.0000000000
3;28.833;1.0000000000
3;29.410;1.0000000000
3;29.998;1.0000000000
3;30.598;1.0000000000
3;31.210;1.0000000000
3;31.834;1.0000000000
3;32.471;1.0000000000
3;33.121;1.0000000000
3;33.783;1.0000000000
3;34.459;1.0000000000
3;35.148;1.0000000000
3;35.851;1.0000000000
3;36.568;1.0000000000
3;37.299;1.0000000000
3;38.045;1.0000000000
3;38.806;1.0000000000
3;39.582;1.0000000000
3;40.374;1.0000000000
3;41.181;1.0000000000
3;42.005;1.0000000000
3;42.845;1.0000000000
3;43.702;1.0000000000
3;44.576;1.0000000000
3;45.467;1.0000000000
3;46.377;1.0000000000
3;47.304;1.0000000000
3;48.250;1.0000000000
3;49.215;1.0000000000
3;50.200;1.0000000000
3;51.204;1.0000000000
3;52.228;1.0000000000
3;53.272;1.0000000000
3;54.338;1.0000000000
3;55.425;1.0000000000
3;56.533;1.0000000000
3;57.664;1.0000000000
3;58.817;1.0000000000
3;59.993;1.0000000000
3;61.193;1.0000000000
3;62.417;1.0000000000
3;63.665;1.0000000000
3;64.939;1.0000000000
3;66.238;1.0000000000
3;67.562;1.0000000000
3;68.914;1.0000000000
3;70.292;1.0000000000
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;nan;1.0000000000
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;-1.000;0.0000000000
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;-nan;1.0000000000
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
3;0.000;0.0002239642
4;15.300;0.9904160823
4;15.606;0.9967274427
4;15.918;0.9976624591
4;16.236;0.9990649836
4;16.561;1.0000000000
4;16.892;1.0000000000
4;17.230;1.0000000000
4;17.575;1.0000000000
4;17.926;1.0000000000
4;18.285;1.0000000000
4;18.651;1.0000000000
4;19.024;1.0000000000
4;19.404;1.0000000000
4;19.792;1.0000000000
4;20.188;1.0000000000
4;20.592;1.0000000000
4;21.004;1.0000000000
4;21.424;1.0000000000
4;21.852;1.0000000000
4;22.289;1.0000000000
4;22.735;1.0000000000
4;23.190;1.0000000000
4;23.653;1.0000000000
4;24.127;1.0000000000
4;24.609;1.0000000000
4;25.101;1.0000000000
4;25.603;1.0000000000
4;26.115;1.0000000000
4;26.638;1.0000000000
4;27.170;1.0000000000
4;27.714;1.0000000000
4;28.268;1.0000000000
4;28.833;1.0000000000
4;29.410;1.0000000000
4;29.998;1.0000000000
4;30.598;1.0000000000
4;31.210;1.0000000000
4;31.834;1.0000000000
4;32.471;1.0000000000
4;33.121;1.0000000000
4;33.783;1.0000000000
4;34.459;1.0000000000
4;35.148;1.0000000000
4;35.851;1.0000000000
4;36.568;1.0000000000
4;37.299;1.0000000000
4;38.045;1.0000000000
4;38.806;1.0000000000
4;39.582;1.0000000000
4;40.374;1.0000000000
4;41.181;1.0000000000
4;42.005;1.0000000000
4;42.845;1.0000000000
4;43.702;1.0000000000
4;44.576;1.0000000000
4;45.467;1.0000000000
4;46.377;1.0000000000
4;47.304;1.0000000000
4;48.250;1.0000000000
4;49.215;1.0000000000
4;50.200;1.0000000000
4;51.204;1.0000000000
4;52.228;1.0000000000
4;53.272;1.0000000000
4;54.338;1.0000000000
4;55.425;1.0000000000
4;56.533;1.0000000000
4;57.664;1.0000000000
4;58.817;1.0000000000
4;59.993;1.0000000000
4;61.193;1.0000000000
4;62.417;1.0000000000
4;63.665;1.0000000000
4;64.939;1.0000000000
4;66.238;1.0000000000
4;67.562;1.0000000000
4;68.914;1.0000000000
4;70.292;1.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;nan;1.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;-1.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;-nan;1.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
4;0.000;0.0000000000
5;15.300;0.9416361416
5;15.606;0.9474969475
5;15.918;0.9626373626
5;16.236;0.9780219780
5;16.561;0.9885225885
5;16.892;0.9953601954
5;17.230;0.9980463980
5;17.575;0.9995115995
5;17.926;1.0000000000
5;18.285;1.0000000000
5;18.651;1.0000000000
5;19.024;1.0000000000
5;19.404;1.0000000000
5;19.792;1.0000000000
5;20.188;1.0000000000
5;20.592;1.0000000000
5;21.004;1.0000000000
5;21.424;1.0000000000
5;21.852;1.0000000000
5;22.289;1.0000000000
5;22.735;1.0000000000
5;23.190;1.0000000000
5;23.653;1.0000000000
5;24.127;1.0000000000
5;24.609;1.0000000000
5;25.101;1.0000000000
5;25.603;1.0000000000
5;26.115;1.0000000000
5;26.638;1.0000000000
5;27.170;1.0000000000
5;27.714;1.0000000000
5;28.268;1.0000000000
5;28.833;1.0000000000
5;29.410;1.0000000000
5;29.998;1.0000000000
5;30.598;1.0000000000
5;31.210;1.0000000000
5;31.834;1.0000000000
5;32.471;1.0000000000
5;33.121;1.0000000000
5;33.783;1.0000000000
